id,incidence_date,conflict_type_id,country_id,region_id,state_id,lga_id,community,civilian_death_male,civilian_death_female,civilian_death_unknown,security_death_male,security_death_female,security_death_unknown,injured_male,injured_female,injured_unknown,kidnapped_male,kidnapped_female,kidnapped_unknown,displaced_persons,displaced_male,displaced_female,actor_1,actor_2,actor_3,description,action,highway_roads_water,confirmation_verification,verification_level,source_url,source_contact_details,source_contact_pictures,source_metadata,data_source,reporter_id,created_at,updated_at,deleted_at
2474,2022-07-14,8,1,4,24,478,Umuopu,0,0,\N,0,0,\N,0,0,\N,0,0,\N,No,0,0,7,4,22,Unknown gunmen attack INEC officials in Enugu,attack,\N,"Confirmed by the INEC National Commissioner in charge of Information and Voter Education Committee, Barr. Festus Okoye",1,https://www.vanguardngr.com/2022/07/unknown-gunmen-attack-inec-officials-in-enugu/,\N,\N,Sources: Vanguard | Other: election,Secondary,1,2026-01-25 11:22:32,2026-01-25 11:22:32,\N
2475,2022-07-15,12,1,3,15,261,Damari,0,0,2,0,0,\N,0,0,\N,0,0,\N,No,0,0,13,2,22,Two die as bandits and Ansaru terrorist group clash in Kaduna,armed clash,\N,Eye Witness,1,https://punchng.com/two-die-as-bandits-terrorists-clash-in-kaduna/,\N,\N,Sources: Punch,Secondary,1,2026-01-25 11:22:32,2026-01-25 11:22:32,\N
2476,2022-07-15,2,1,1,1,4,Bajabure,0,0,1,0,0,\N,0,0,\N,0,0,\N,No,0,0,7,4,22,Gunmen kill Adamawa poly lecturer,attack,\N,"Confirmed by the spokesperson of the Adamawa State Police Command, SP Suleiman Nguroje",1,https://punchng.com/gunmen-kill-adamawa-poly-lecturer-in-wifes-presence/,\N,\N,Sources: Punch,Secondary,1,2026-01-25 11:22:32,2026-01-25 11:22:32,\N
2477,2022-07-15,8,1,5,31,811,Ndoki,0,0,\N,0,0,\N,0,0,\N,0,0,2,No,0,0,7,4,22,Gunmen kidnap 2 expatriates in Rivers,attack,\N,Confirmed by the state Police command,1,https://www.sunnewsonline.com/gunmen-kidnap-2-expatriates-in-rivers/,\N,\N,Sources: The Sun,Secondary,1,2026-01-25 11:22:32,2026-01-25 11:22:32,\N
2478,2022-07-16,2,1,3,15,277,Yadin Gura,0,0,\N,0,0,\N,0,0,\N,0,0,2,No,0,0,7,4,22,Bandits kidnap CAN Chairman and another Catholic priest in Kaduna,attack,\N,Eye Witness,1,https://dailypost.ng/2022/07/16/bandits-kidnap-can-chairman-another-catholic-priest-in-kaduna/,\N,\N,Sources: Daily post,Secondary,1,2026-01-25 11:22:32,2026-01-25 11:22:32,\N
2479,2022-07-16,2,1,2,12,227,Kampani Zurak,0,0,2,0,0,\N,0,0,1,0,0,\N,No,0,0,2,4,22,"Suspected bandits ambush soldiers in Plateau community, rustle several cows",attack,\N,"Confirmed by the Military spokesman of OpSH, Major Ishaku Takwa",1,https://www.vanguardngr.com/2022/07/suspected-bandits-ambush-soldiers-in-plateau-community-rustle-several-cows/,\N,\N,Sources: Vanguard | Other: https://dailypost.ng/2022/07/18/insecurity-bandits-kill-2-injure-1-in-plateau-community/,Secondary,1,2026-01-25 11:22:32,2026-01-25 11:22:32,\N
2480,2022-07-16,2,1,3,14,254,Garin Gabas,0,0,2,0,0,\N,0,0,2,0,0,1,No,0,0,7,4,22,"Gunmen killed two, kidnapped one in Jigawa",attack,\N,"Confirmed by the police spokesman in the state, DSP Lawan Shiisu Adam",1,https://dailypost.ng/2022/07/16/how-gunmen-killed-two-kidnapped-one-in-jigawa/,\N,\N,Sources: Daily post,Secondary,1,2026-01-25 11:22:32,2026-01-25 11:22:32,\N
2481,2022-07-16,8,1,4,22,441,Amukabra Achalla,0,0,1,0,0,2,0,0,\N,0,0,\N,No,0,0,26,21,4,Hoodlums kill 2 policeman and 1 civillian in Anambra,attack,\N,"Confirmed by the command’s spokesman, DSP Tochukwu Ikenga",1,https://www.vanguardngr.com/2022/07/hoodlums-kill-3-as-operatives-recover-1-human-skull-in-anambra/,\N,\N,Sources: Vanguard,Secondary,1,2026-01-25 11:22:32,2026-01-25 11:22:32,\N
2482,2022-07-17,8,1,4,25,503,Umuadara Umulogho,0,0,\N,0,0,\N,0,0,\N,0,0,1,No,0,0,7,4,22,"Gunmen abduct NDDC official, demand N10m ransom",attack,\N,Eye Witness,1,"https://punchng.com/gunmen-abduct-nddc-official-demand-n10m-ransom/#:~:text=Gunmen%20on%20Saturday%20morning%20kidnapped,Government%20Area%20of%20Imo%20State.",\N,\N,Sources: Punch,Secondary,1,2026-01-25 11:22:32,2026-01-25 11:22:32,\N
2483,2022-07-17,8,1,4,22,441,Achalla,0,0,10,0,0,\N,0,0,\N,0,0,\N,No,0,0,21,7,22,"Police kill 10 gunmen, destroy camps in Anambra",attack,\N,"Confirmed by the state police spokesperson, Toochukwu Ikenga",1,https://punchng.com/police-kill-10-gunmen-destroy-camps-in-anambra/,\N,\N,Sources: Punch,Secondary,1,2026-01-25 11:22:32,2026-01-25 11:22:32,\N
2484,2022-07-17,8,1,4,22,442,Unknown,0,0,\N,0,0,\N,0,0,\N,0,0,2,No,0,0,7,4,22,"Gunmen attack commuters in Anambra, escape with 2 jeeps, occupants",attack,Amawbia – Nise,"Confirmed by the Police Public Relations Officer in the state, DSP Tochukwu Ikenga",1,https://www.sunnewsonline.com/gunmen-attack-commuters-in-anambra-escape-with-2-jeeps-occupants/,\N,\N,Sources: The Sun,Secondary,1,2026-01-25 11:22:32,2026-01-25 11:22:32,\N
2485,2022-07-18,2,1,3,15,264,Lema,0,0,\N,0,0,\N,0,0,\N,0,0,3,No,0,0,2,4,22,Bandits abduct 8 in Kaduna,attack,\N,Eye Witness,1,https://www.vanguardngr.com/2022/07/bandits-abduct-pregnant-woman-7-others-near-nda-kaduna/,\N,\N,Sources: Vanguard,Secondary,1,2026-01-25 11:22:32,2026-01-25 11:22:32,\N
2486,2022-07-18,2,1,2,13,228,Paikon Basa,0,0,1,0,0,\N,0,0,\N,0,0,10,No,0,0,2,4,22,"Bandits Gun Down 7-Year-Old Child In Abuja, Abduct 10 Residents",attack,\N,Eye Witness,1,https://dailytrust.com/bandits-gun-down-7-year-old-child-in-abuja-abduct-residents,\N,\N,Sources: Daily trust,Secondary,1,2026-01-25 11:22:32,2026-01-25 11:22:32,\N
2487,2022-07-18,8,1,4,22,442,Nise,0,0,\N,0,0,\N,0,0,\N,0,0,4,No,0,0,7,4,22,Gunmen abduct 4 travellers in Anambra,attack,\N,Eye Witness,1,https://www.premiumtimesng.com/regional/ssouth-east/543482-gunmen-abduct-travellers-in-anambra.html,\N,\N,Sources: Premium Times,Secondary,1,2026-01-25 11:22:32,2026-01-25 11:22:32,\N
2488,2022-07-18,6,1,4,24,480,Unknown,0,0,\N,0,0,\N,0,0,\N,0,0,15,No,0,0,8,4,22,Suspected herdsmen kidnap 15 residents in Enugu community,attack,Mgbuji-Agu,Eye Witness,1,https://punchng.com/suspected-herdsmen-kidnap-15-residents-in-enugu-community/,\N,\N,Sources: Punch,Secondary,1,2026-01-25 11:22:32,2026-01-25 11:22:32,\N
2489,2022-07-18,2,1,2,8,143,Orie Akpanya,0,0,2,0,0,\N,0,0,\N,0,0,\N,No,0,0,7,4,22,Gunmen kill 2 in Kogi,attack,\N,Eye Witness,1,https://www.vanguardngr.com/2022/07/gunmen-kill-2-in-kogi-kidnap-another-in-enugu-community/,\N,\N,Sources: Vanguard,Secondary,1,2026-01-25 11:22:32,2026-01-25 11:22:32,\N
2490,2022-07-18,8,1,4,24,478,Alor Agu,0,0,\N,0,0,\N,0,0,\N,0,0,1,No,0,0,7,4,22,Gunmen abduct 1 in Enugu State,attack,\N,Eye Witness,1,https://www.vanguardngr.com/2022/07/gunmen-kill-2-in-kogi-kidnap-another-in-enugu-community/,\N,\N,Sources: Vanguard,Secondary,1,2026-01-25 11:22:32,2026-01-25 11:22:32,\N
2491,2022-07-18,12,1,1,3,858,Gubio,0,0,1,0,0,\N,0,0,\N,0,0,\N,No,0,0,10,21,11,"Boko Haram/ISWAP kill vigilante Chairman, others in Gubio",attack,\N,"Confirmed by the Executive Chairman of Gubio Council, Alhaji Bukar Sulum Zowo",1,https://www.vanguardngr.com/2022/07/boko-haram-iswap-kill-vigilante-chairman-others-in-gubio-ambush/,\N,\N,Sources: Vanguard,Secondary,1,2026-01-25 11:22:32,2026-01-25 11:22:32,\N
2492,2022-07-18,2,1,3,17,785,Dutsin-ma,0,0,\N,0,0,\N,0,0,\N,0,0,9,No,0,0,2,4,22,9 abducted as Bandits raid Katsina community,attack,\N,"Confirmed by the Police spokesman in Katsina, SP Gambo Isah",1,https://dailytrust.com/housewives-children-abducted-as-bandits-raid-katsina-community,\N,\N,Sources: Daily trust,Secondary,1,2026-01-25 11:22:32,2026-01-25 11:22:32,\N
2493,2022-07-19,5,1,4,25,509,Otulu,0,0,7,0,0,\N,0,0,\N,0,0,\N,No,0,0,11,4,22,Ebubeagu kill 7 wedding guests in Imo,attack,\N,"Confirmed by the spokesperson of the state police command, CSP Micheal Abattam",1,https://www.sunnewsonline.com/gunmen-kill-7-wedding-guests-in-imo/,\N,\N,Sources: The Sun | Other: https://www.vanguardngr.com/2022/07/tears-as-ebubeagu-kills-7-youths-in-imo/,Secondary,1,2026-01-25 11:22:32,2026-01-25 11:22:32,\N
2494,2022-07-19,2,1,3,17,340,Kwai,0,0,1,0,0,\N,0,0,\N,0,0,\N,No,0,0,2,4,22,"Bandits kill 1, injure many in attack on Katsina village",attack,\N,Eye Witness,1,https://www.vanguardngr.com/2022/07/bandits-kill-6-injure-scores-rustle-several-animals-in-katsina/,\N,\N,Sources: Vanguard,Secondary,1,2026-01-25 11:22:32,2026-01-25 11:22:32,\N
