id,incidence_date,conflict_type_id,country_id,region_id,state_id,lga_id,community,civilian_death_male,civilian_death_female,civilian_death_unknown,security_death_male,security_death_female,security_death_unknown,injured_male,injured_female,injured_unknown,kidnapped_male,kidnapped_female,kidnapped_unknown,displaced_persons,displaced_male,displaced_female,actor_1,actor_2,actor_3,description,action,highway_roads_water,confirmation_verification,verification_level,source_url,source_contact_details,source_contact_pictures,source_metadata,data_source,reporter_id,created_at,updated_at,deleted_at
439,'2021-03-22',2,1,3,15,272,'Doka',0,0,1,0,0,\N,0,0,2,0,0,\N,'No',0,0,2,4,22,"'Bandits kill 1 community leader, injure brother'",'attack',\N,'Confirmed by  Internal Security and Home Affairs Commissioner Samuel Aruwan','1','https://www.premiumtimesng.com/news/top-news/450564-bandits-kill-community-leader-injure-brother-in-kaduna-attack.html',\N,\N,'Sources: Premium Times','Secondary',1,'2026-01-25 11:22:30','2026-01-25 11:22:30',\N
440,'2021-03-23',5,1,3,17,355,'Mazoji',0,0,2,0,0,\N,0,0,\N,0,0,\N,'No',0,0,18,2,22,'Mob kill 2 bandits','attack',\N,'Eye Witness','1','https://leadership.ng/jungle-justice-2-kidnappers-killed-in-katsina-community/',\N,\N,'Sources: Leadership','Secondary',1,'2026-01-25 11:22:30','2026-01-25 11:22:30',\N
441,'2021-03-23',6,1,2,7,123,'Diz-Zaav',0,0,1,0,0,\N,0,0,\N,0,0,3,'No',0,0,2,4,22,'Herdsmen kill 1 and abduct 3','attack',\N,'Eye Witness','1','https://guardian.ng/news/armed-men-kill-one-farmer-abduct-three-women-with-kids-in-benue/',\N,\N,'Sources: The Guardian','Secondary',1,'2026-01-25 11:22:30','2026-01-25 11:22:30',\N
442,'2021-03-23',6,1,6,37,773,'Aba Ogbomoso',0,0,2,0,0,\N,0,0,\N,0,0,\N,'No',0,0,4,4,22,'Hunters kill 3 fulani settlers','attack',\N,"'Confirmed by the Public Relations Officer of Oyo Police command, Mr. Olugbenga Fadeyi'",'1','https://tribuneonlineng.com/three-arrested-for-alleged-arson-murder-in-saki/',\N,\N,'Sources: Nigerian Tribune','Secondary',1,'2026-01-25 11:22:30','2026-01-25 11:22:30',\N
443,'2021-03-23',2,1,3,15,264,'Ungwan Lalle',0,0,3,0,0,\N,0,0,\N,0,0,\N,'No',0,0,2,4,22,'Bandits kill 3','attack',\N,'Confirmed by  Internal Security and Home Affairs Commissioner Samuel Aruwan','1','https://www.vanguardngr.com/2021/03/bandits-kill-four-in-kaduna-villages-3-medical-staff-injured/',\N,\N,'Sources: Vanguard','Secondary',1,'2026-01-25 11:22:30','2026-01-25 11:22:30',\N
444,'2021-03-23',2,1,2,12,212,'Katummai',0,0,2,0,0,2,0,0,\N,0,0,\N,'No',0,0,2,11,4,'Bandits kill 2 security and 2 civilians','attack',\N,'Eye Witness','1','https://dailytrust.com/2-soldiers-others-killed-in-plateau-40-houses-razed',\N,\N,'Sources: Daily trust','Secondary',1,'2026-01-25 11:22:30','2026-01-25 11:22:30',\N
445,'2021-03-23',2,1,3,15,807,'Golgofa',0,0,1,0,0,\N,0,0,\N,0,0,\N,'No',0,0,2,4,22,'Bandits kill 1','attack',\N,"'Confirmed by the The Commissioner for Internal Security and Home Affairs in Kaduna, Samuel Aruwan'",'1','https://www.vanguardngr.com/2021/03/bandits-kill-four-in-kaduna-villages-3-medical-staff-injured/',\N,\N,'Sources: Vanguard','Secondary',1,'2026-01-25 11:22:30','2026-01-25 11:22:30',\N
446,'2021-03-25',2,1,3,15,261,'Unknown',0,0,6,0,0,\N,0,0,\N,0,0,\N,'No',0,0,2,4,22,'Bandits kill 6','attack','Dogon Dawa Kuyello',"'Confirmed by the The Commissioner for Internal Security and Home Affairs in Kaduna, Samuel Aruwan'",'1','https://www.thisdaylive.com/index.php/2021/03/25/bandits-kill-nine-in-kaduna-communities/',\N,\N,'Sources: Premium Times','Secondary',1,'2026-01-25 11:22:30','2026-01-25 11:22:30',\N
447,'2021-03-25',2,1,3,15,261,'Ungwan Maje',0,0,2,0,0,\N,0,0,\N,0,0,\N,'No',0,0,2,4,22,'Bandits kill 2','attack',\N,"'Confirmed by the The Commissioner for Internal Security and Home Affairs in Kaduna, Samuel Aruwan'",'1','https://www.thisdaylive.com/index.php/2021/03/25/bandits-kill-nine-in-kaduna-communities/',\N,\N,'Sources: Premium Times','Secondary',1,'2026-01-25 11:22:30','2026-01-25 11:22:30',\N
448,'2021-03-25',2,1,3,15,263,'Kwama',0,0,1,0,0,\N,0,0,\N,0,0,\N,'No',0,0,2,4,22,'Bandits kill 1','attack',\N,"'Confirmed by the The Commissioner for Internal Security and Home Affairs in Kaduna, Samuel Aruwan'",'1','https://www.thisdaylive.com/index.php/2021/03/25/bandits-kill-nine-in-kaduna-communities/',\N,\N,'Sources: Premium Times','Secondary',1,'2026-01-25 11:22:30','2026-01-25 11:22:30',\N
449,'2021-03-25',11,1,4,21,430,'Aba',0,0,16,0,0,\N,0,0,\N,0,0,\N,'No',0,0,21,12,22,'Security operatives kill 16 ESN members','attack',\N,'Eye Witness','1','https://www.vanguardngr.com/2021/03/bloodbath-in-abia-16-killed-as-troops-police-esn-clash/',\N,\N,'Sources: Vanguard','Secondary',1,'2026-01-25 11:22:30','2026-01-25 11:22:30',\N
450,'2021-03-28',2,1,2,7,117,'Dan- Wanzam',0,0,\N,0,0,\N,0,0,\N,0,0,6,'No',0,0,2,4,22,'Bandits kidnap 6','attack',\N,"'Confirmed  by the Benue State police spokesperson in the state, David Misal'",'1','https://www.premiumtimesng.com/regional/nnorth-east/384493-groom-five-others-kidnapped-in-taraba.html',\N,\N,'Sources: Premium Times','Secondary',1,'2026-01-25 11:22:30','2026-01-25 11:22:30',\N
451,'2021-03-29',2,1,1,3,47,'Unknown',0,0,39,0,0,\N,0,0,\N,0,0,\N,'No',0,0,21,2,22,'Security forces kill 48 bandits','armed clash','Askira-Chibok',"'Confirmed by the Director Army Public Relations, Brig-Gen. Mohammed Yerima'",'1','https://guardian.ng/news/nigeria/national/army-kills-48-terrorists-rescues-eight-abductees-in-borno/',\N,\N,'Sources: The Guardian','Secondary',1,'2026-01-25 11:22:30','2026-01-25 11:22:30',\N
452,'2021-03-29',2,1,1,3,52,'Sambisa',0,0,9,0,0,\N,0,0,\N,0,0,\N,'No',0,0,21,2,22,'Security forces kill 9 bandits','armed clash',\N,"'Confirmed by the Director Army Public Relations, Brig-Gen. Mohammed Yerima'",'1','https://guardian.ng/news/nigeria/national/army-kills-48-terrorists-rescues-eight-abductees-in-borno/',\N,\N,'Sources: The Guardian','Secondary',1,'2026-01-25 11:22:30','2026-01-25 11:22:30',\N
453,'2021-03-30',6,1,4,23,465,"'Egedegede, Obegu And Amuzu'",0,0,15,0,0,\N,0,0,\N,0,0,\N,'No',0,0,8,4,22,'Herders kill 15 in Ebonyi State','attack',\N,'Confirmed by the Executive governor Of Ebonyi state. Dave Umahi','1','https://punchng.com/herdsmen-killed-15-persons-in-ebonyi-communities-gov-umahi/',\N,\N,'Sources: Punch','Secondary',1,'2026-01-25 11:22:30','2026-01-25 11:22:30',\N
454,'2021-03-31',8,1,4,24,808,'Adani',0,0,8,0,0,\N,0,0,\N,0,0,\N,'No',0,0,7,4,22,'Bandits kill 8 people','attack',\N,"'Confirmed by the Commissioner of Police, Enugu State Police Command, Mohammed Ndatsu Aliyu'",'1','https://www.vanguardngr.com/2021/03/massacre-in-ebonyi-priest-17-others-killed-by-herdsmen/',\N,\N,'Sources: Vanguard','Secondary',1,'2026-01-25 11:22:30','2026-01-25 11:22:30',\N
