id,incidence_date,conflict_type_id,country_id,region_id,state_id,lga_id,community,civilian_death_male,civilian_death_female,civilian_death_unknown,security_death_male,security_death_female,security_death_unknown,injured_male,injured_female,injured_unknown,kidnapped_male,kidnapped_female,kidnapped_unknown,displaced_persons,displaced_male,displaced_female,actor_1,actor_2,actor_3,description,action,highway_roads_water,confirmation_verification,verification_level,source_url,source_contact_details,source_contact_pictures,source_metadata,data_source,reporter_id,created_at,updated_at,deleted_at
361,2021-02-08,6,1,6,34,686,Oha,0,0,1,0,0,\N,0,0,\N,0,0,\N,No,0,0,8,23,22,Herdmen kill 1 farrmer,attack,\N,"Confirmed by the Ogun State Police Command spokesperson, Abimbola Oyeyemi",1,https://www.premiumtimesng.com/regional/ssouth-west/441323-insecurity-suspected-herdsmen-kill-farmer-in-ogun.html,\N,\N,Sources: Premium Times | Other: https://punchng.com/suspected-herdsmen-kill-farmer-in-ogun-2/,Secondary,1,2026-01-25 11:22:30,2026-01-25 11:22:30,\N
362,2021-02-12,6,1,6,35,711,Ago Sanusi,0,0,2,0,0,\N,0,0,\N,0,0,\N,No,0,0,8,23,11,"Herdsmen kill 2, a farmer and Vigilante",attack,\N,Eye Witness,1,https://www.premiumtimesng.com/news/headlines/442322-just-in-two-killed-as-herders-clash-with-amotekun-in-ondo.html,\N,\N,Sources: Premium Times,Secondary,1,2026-01-25 11:22:30,2026-01-25 11:22:30,\N
363,2021-02-13,5,1,6,37,774,Igbon,0,0,\N,0,0,\N,0,0,1,0,0,\N,No,0,0,21,11,22,Police shoot amotekun personnel,attack,\N,Eye Witness,1,https://punchng.com/farm-destruction-dpo-shoots-amotekun-operative-for-arresting-fulani-herdsmen/,\N,\N,Sources: Punch | Other: https://www.google.com/url?rct=j&sa=t&url=http://saharareporters.com/2021/02/12/police-dpo-shoots-amotekun-operative-arresting-fulani-herdsmen-who-destroyed-farm&ct=ga&cd=CAEYAyoTNjgzMzA1NjI4Njg4MjQ2ODY1MDIaNjkwZWNhYWYyMTQyMjFjODpjb206ZW46VVM&usg=AFQjCNEddUjkC12J_fqNp6kfKRXkzCqrtg,Secondary,1,2026-01-25 11:22:30,2026-01-25 11:22:30,\N
364,2021-02-13,12,1,1,3,46,Gur,0,0,4,0,0,\N,0,0,\N,0,0,\N,No,0,0,3,4,22,Boko haram kill 4,attack,\N,Eye Witness,1,https://www.vanguardngr.com/2021/02/boko-haram-kill-four-snatch-vehicles-loot-foodstuff-in-borno/,\N,\N,Sources: Vanguard,Secondary,1,2026-01-25 11:22:30,2026-01-25 11:22:30,\N
365,2021-02-13,12,1,1,3,44,Pulka,0,0,2,0,0,\N,0,0,\N,0,0,\N,No,0,0,21,3,22,Military kills 2 boko haram,armed clash,\N,"Confirmed by Mohammed Yerima, army spokesperson",1,https://www.thecable.ng/troops-kill-two-factional-commanders-of-boko-haram,\N,\N,Sources: cable,Secondary,1,2026-01-25 11:22:30,2026-01-25 11:22:30,\N
366,2021-02-14,2,1,3,15,262,Yakowa,0,0,3,0,0,\N,0,0,\N,0,0,\N,No,0,0,2,4,22,Bandits kill 3 passengers,attack,\N,"Confirmed by the The Commissioner for Internal Security and Home Affairs in Kaduna, Samuel Aruwan",1,https://www.premiumtimesng.com/news/headlines/442725-passengers-air-force-personnel-killed-in-kaduna-bandits-attacks.html,\N,\N,Sources: Premium Times | Other: https://www.latestnigeriannews.com/p/236261/passengers-air-force-personnel-killed-in-kaduna-bandits-attacks.html,Secondary,1,2026-01-25 11:22:30,2026-01-25 11:22:30,\N
367,2021-02-15,6,1,6,35,711,Ijugbere,0,0,3,0,0,\N,0,0,\N,0,0,\N,No,0,0,8,23,22,Herdmens kill 3 farmers,attack,\N,"Confirmed by the Senior Special Assistant to Governor Rotimi Akeredolu on Agriculture and Agric Business, Mr Akin Olotu",1,https://punchng.com/again-suspected-herdsmen-strike-in-ondo-kill-three-farmers/,\N,\N,Sources: Punch | Other: https://www.thisdaylive.com/index.php/2021/02/15/again-suspected-herdsmen-kill-three-farmers-in-ondo/,Secondary,1,2026-01-25 11:22:30,2026-01-25 11:22:30,\N
368,2021-02-15,12,1,1,3,52,Pulka,0,0,2,0,0,\N,0,0,\N,0,0,\N,No,0,0,21,3,22,Military kill 2 Boko Haram commanders,armed clash,\N,"Confirmed by the Director, Army Public Relations, Brig-Gen. Mohammed Yerima",1,https://guardian.ng/news/army-kills-two-boko-haram-commanders-in-borno/,\N,\N,Sources: The Guardian | Other: https://www.premiumtimesng.com/news/top-news/442732-nigerian-soldiers-kill-two-top-boko-haram-commanders-official.html,Secondary,1,2026-01-25 11:22:30,2026-01-25 11:22:30,\N
369,2021-02-16,2,1,2,11,205,Kusherki,0,0,11,0,0,\N,0,0,\N,0,0,\N,No,0,0,2,4,22,Bandits kill  11,attack,\N,"Confirmed by the Chief Press Secretary to Governor Abubakar Sani Bello, Mrs. Mary Noel-Berje",1,https://www.vanguardngr.com/2021/02/bandits-kill-traditional-ruler-ten-others-kidnap-24-in-niger/,\N,\N,Sources: Vanguard | Other: https://www.naijaloaded.com.ng/news/bandits-kill-traditional-ruler-ten-others-kidnap-24-in-niger-state,Secondary,1,2026-01-25 11:22:30,2026-01-25 11:22:30,\N
370,2021-02-16,2,1,2,11,196,Unknown,0,0,\N,0,0,\N,0,0,\N,0,0,18,No,0,0,2,4,22,Bandits abduct 18 on  Kontagora-Tegina-Minna Highway,attack,Kontagora-Tegina-Minna Highway,"Confirmed by the Chief Press Secretary to Governor Abubakar Sani Bello, Mrs. Mary Noel-Berje",1,https://www.vanguardngr.com/2021/02/bandits-kill-traditional-ruler-ten-others-kidnap-24-in-niger/,\N,\N,Sources: Vanguard,Secondary,1,2026-01-25 11:22:30,2026-01-25 11:22:30,\N
